date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:09	814472/814472	---MCZ	200	added ('OK')	text/html	etag:%2257b1d5b6a63c394606beff7284e4f694-ssl-df%22	https://shopery.netlify.app/main/index.html	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/index.html	(from )
17:59:09	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1632130128-ssl-df	https://shopery.netlify.app/robots.txt		(from )
17:59:09	483/483	---M--	200	added ('OK')	image/png	etag:%22921659e419aeef8b175edd4ec0ff64d5-ssl%22	https://shopery.netlify.app/main/src/images/favicon/favicon-16x16.png	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/images/favicon/favicon-16x16.png	(from https://shopery.netlify.app/main/index.html)
17:59:10	13871/13871	---M-Z	200	added ('OK')	text/css	etag:%22cd0b07d880776c6d6ee88199f1079c96-ssl-df%22	https://shopery.netlify.app/main/src/lib/css/swiper-bundle.min.css	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/lib/css/swiper-bundle.min.css	(from https://shopery.netlify.app/main/index.html)
17:59:11	2819/2819	---M-Z	200	added ('OK')	text/css	etag:%22d52dbd7bd869408685d3b9b1e5d9a96f-ssl-df%22	https://shopery.netlify.app/main/src/lib/css/bvselect.css	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/lib/css/bvselect.css	(from https://shopery.netlify.app/main/index.html)
17:59:12	23011/23011	---MCZ	200	added ('OK')	text/css	etag:%22cf907c7a532de39b9068d9b546066928-ssl-df%22	https://shopery.netlify.app/main/src/lib/css/venobox.css	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/lib/css/venobox.css	(from https://shopery.netlify.app/main/index.html)
17:59:12	162764/162764	---MCZ	200	added ('OK')	text/css	etag:%22be997d627ab7bb53651c6a0170a29830-ssl-df%22	https://shopery.netlify.app/main/src/lib/css/bootstrap.min.css	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/lib/css/bootstrap.min.css	(from https://shopery.netlify.app/main/index.html)
17:59:13	293662/293662	---MCZ	200	added ('OK')	text/css	etag:%22d666df93df2eb5a10c1ebfea9ef74395-ssl-df%22	https://shopery.netlify.app/main/src/css/style.css	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/css/style.css	(from https://shopery.netlify.app/main/index.html)
17:59:14	133233/133233	---M--	200	added ('OK')	image/gif	etag:%22f030b3ef4867bfdb09708db33ddb73a6-ssl%22	https://shopery.netlify.app/main/src/images/loader.gif	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/images/loader.gif	(from https://shopery.netlify.app/main/index.html)
17:59:15	54005/54005	---M--	200	added ('OK')	image/png	etag:%22bea15c0b48a848aedf7b7567dabc729e-ssl%22	https://shopery.netlify.app/main/src/images/products/img-01.png	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/images/products/img-01.png	(from https://shopery.netlify.app/main/index.html)
17:59:15	56319/56319	---MCZ	200	added ('OK')	text/html	etag:%22fdfcbc079957170544d957ef1cedf976-ssl-df%22	https://shopery.netlify.app/main/sign-in.html	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/sign-in.html	(from https://shopery.netlify.app/main/index.html)
17:59:16	62225/62225	---MCZ	200	added ('OK')	text/html	etag:%2209ddbd3f7b0569e834bc0b28c35045c8-ssl-df%22	https://shopery.netlify.app/main/create-account.html	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/create-account.html	(from https://shopery.netlify.app/main/index.html)
17:59:17	2972/2972	---M--	200	added ('OK')	image/png	etag:%22c2a07491b25163d285d315605994dd61-ssl%22	https://shopery.netlify.app/main/src/images/logo.png	C:/Users/USERPC/Desktop/templates/Shopery/shopery.netlify.app/main/src/images/logo.png	(from https://shopery.netlify.app/main/index.html)
